order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,154,Emily Davis,103,Gauze Pads,First Aid,wallet,9,4.99,2024-03-01T02:46:40.000-08:00,United States of America,Houston,www.alldaychemist.com,79114901,1,payment successful
2,128,Takeshi Yamaguchi,27,Hair Oil,Hair Care,wallet,1,10.99,2024-07-09T08:12:57.000-07:00,Japan,Himeji,www.walgreens.com,54985313,1,payment successful
3,231,Charlie Davies,63,Sunburn Relief Spray,Sun Care,wallet,4,9.99,2024-07-27T05:36:26.000-07:00,United Kingdom,Edinburgh,www.amazon.com/pharmacy,22961223,0,payment method not accepted at merchant
4,159,Benjamin Jackson,13,Mouthwash,Oral Care,wallet,2,3.49,2024-04-05T23:33:16.000-07:00,United States of America,Dallas,www.pillpack.com,17268024,1,payment successful
5,219,Chloe Martin,135,Shoulder Support,Supports and Braces,card,1,14.99,2024-12-10T00:47:11.000-08:00,Australia,Perth,www.1mg.com,31345758,1,payment successful
6,136,Dylan Bennett,65,Lip Balm with SPF,Sun Care,wallet,7,4.99,2024-08-23T21:30:45.000-07:00,United States of America,Washington,www.walgreens.com,35143446,1,payment successful
7,15,Pablo Fernandez,4,Allergy Relief Eye Drops,Eye Care,wallet,9,7.99,2024-12-30T03:31:53.000-08:00,Spain,Madrid,www.alldaychemist.com,32916469,1,payment successful
8,52,Jane Doe,90,Nasal Decongestant,"Cough, Cold, and Flu",upi,5,6.99,2024-01-02T19:37:56.000-08:00,Australia,Brisbane,www.walgreens.com,13128132,1,payment successful
9,110,Megan Phillips,74,Menstrual Cup,Feminine Care,wallet,9,19.99,2024-12-28T12:51:31.000-08:00,United Kingdom,Cardiff,www.walgreens.com,14511245,1,payment successful
10,58,Yuki Yamamoto,93,Cough Suppressant,"Cough, Cold, and Flu",card,6,7.49,2024-02-21T18:22:33.000-08:00,Japan,Sapporo,www.expresspharmacy.co.uk,21409194,1,payment successful
11,30,Juan Perez,46,Electric Shaver,Shaving and Grooming,wallet,6,29.99,2024-12-10T10:41:00.000-08:00,Chile,Santiago,www.walgreens.com,20961164,1,payment successful
12,163,Henry Lewis,94,Cold and Flu Tea,"Cough, Cold, and Flu",internet banking,5,5.49,2024-12-01T10:39:19.000-08:00,United States of America,Fort Worth,www.goodrx.com,82895710,1,payment successful
13,176,Marie Dubois,36,Foot File,Foot Care,wallet,5,3.99,2024-11-11T18:41:34.000-08:00,France,Lyon,www.1mg.com,87446779,1,payment successful
14,78,Ryo Kato,46,Electric Shaver,Shaving and Grooming,card,8,29.99,2024-12-23T01:13:48.000-08:00,Japan,Sendai,www.amazon.com/pharmacy,56575028,1,payment successful
15,16,Emily Johnson,50,Mustache Wax,Shaving and Grooming,wallet,5,5.49,2024-09-25T01:13:38.000-07:00,United Kingdom,London,www.chemistdirect.co.uk,61259928,1,payment successful
16,122,Lily Cooper,106,Antibiotic Ointment,First Aid,wallet,7,6.99,2024-03-11T15:14:38.000-07:00,Australia,Ballarat,www.goodrx.com,38124534,1,payment successful
17,219,Chloe Martin,93,Cough Suppressant,"Cough, Cold, and Flu",wallet,2,7.49,2024-07-19T14:30:41.000-07:00,Australia,Perth,www.drugstore.com,47663277,1,payment successful
18,182,Sophie Moreau,92,Throat Spray,"Cough, Cold, and Flu",wallet,3,4.99,2024-03-21T08:06:36.000-07:00,France,Nice,www.walgreens.com,25688384,0,bank refused to authorize transaction
19,211,Ava Clark,50,Mustache Wax,Shaving and Grooming,wallet,4,5.49,2024-01-25T17:15:54.000-08:00,United States of America,Jacksonville,www.safeway.com/pharmacy,51392638,1,payment successful
20,100,Freddie Turner,83,Throat Lozenges,"Ear, Nose, and Throat Care",wallet,9,5.99,2024-12-26T17:08:10.000-08:00,United Kingdom,Leicester,www.cvs.com,10651265,1,payment successful
21,165,Alexander Walker,51,Hearing Aid,Hearing Devices and Amplifiers,wallet,3,510.0,2024-12-03T07:21:58.000-08:00,United States of America,Charlotte,www.medicalnewstoday.com/pharmacy,38755082,1,payment successful
22,21,Kim Lee,74,Menstrual Cup,Feminine Care,card,9,19.99,2024-12-10T10:09:37.000-08:00,South Korea,Seoul,www.expresspharmacy.co.uk,22338853,1,payment successful
23,92,Zoe Nelson,33,Foot Spray,Foot Care,card,9,7.49,2024-04-25T01:48:16.000-07:00,Australia,Wollongong,www.walgreens.com,53638252,1,payment successful
24,62,Sophia Taylor,107,Burn Gel,First Aid,wallet,5,7.99,2024-10-14T02:42:12.000-07:00,Australia,Adelaide,www.walgreens.com,31246560,1,payment successful
25,62,Sophia Taylor,124,Psoriasis Treatment,Skin Ailments,card,6,12.99,2024-12-24T21:45:04.000-08:00,Australia,Adelaide,www.cvs.com,76082410,1,payment successful
26,31,Elena Petrova,19,Orthodontic Wax,Oral Care,wallet,6,1.99,2024-12-16T21:47:43.000-08:00,Russia,Saint Petersburg,www.medicalnewstoday.com/pharmacy,10389255,0,payment method not accepted at merchant
27,216,Jack Thompson,46,Electric Shaver,Shaving and Grooming,wallet,4,29.99,2024-12-27T09:23:05.000-08:00,Australia,Sydney,www.chemistdirect.co.uk,54074586,1,payment successful
28,20,Johan van der Merwe,144,Maternity Support Belt,Supports and Braces,wallet,4,19.99,2024-12-06T07:07:54.000-08:00,South Africa,Cape Town,www.pharmacytimes.com,83932663,1,payment successful
29,67,Amelia White,97,Pain Relief Patch,Pain Relief and Management,card,4,14.99,2024-09-12T02:15:13.000-07:00,Australia,Canberra,www.mysmartpharmacy.com,74645595,1,payment successful
30,145,Phoebe Richards,114,Pregnancy Test,Home Tests and Monitoring,wallet,1,12.99,2024-07-06T09:43:37.000-07:00,United Kingdom,Southampton,www.healthmart.com,79516146,1,payment successful
31,98,Naoki Mori,125,Acne Treatment Gel,Skin Ailments,card,6,8.99,2024-06-03T16:13:09.000-07:00,Japan,Saitama,www.cvs.com,78920338,1,payment successful
32,164,Ella Robinson,90,Nasal Decongestant,"Cough, Cold, and Flu",internet banking,6,6.99,2024-12-09T12:24:20.000-08:00,United States of America,Columbus,www.healthmart.com,21619065,1,payment successful
33,158,Olivia Thomas,95,Vapor Inhaler,"Cough, Cold, and Flu",wallet,4,4.49,2024-12-05T14:22:08.000-08:00,United States of America,San Diego,www.chemistdirect.co.uk,72402739,1,payment successful
34,187,Haruto Kato,113,Stool Softener,Digestive Health and Nausea,wallet,1,5.99,2024-04-15T17:18:57.000-07:00,Japan,Sendai,www.walgreens.com,64653601,1,payment successful
35,220,James Lee,57,Hearing Aid Wax Guards,Hearing Devices and Amplifiers,wallet,7,570.0,2024-04-19T03:50:31.000-07:00,Australia,Adelaide,www.goodrx.com,15394577,0,payment method not accepted at merchant
36,65,Charlotte Evans,127,Insulin Syringes,Diabetes Management,wallet,5,19.99,2024-05-08T21:55:20.000-07:00,United Kingdom,Liverpool,www.chemistwarehouse.com.au,62663277,1,payment successful
37,199,Yoshio Matsumoto,96,Pain Relief Cream,Pain Relief and Management,card,9,12.99,2024-10-13T15:43:43.000-07:00,Japan,Kobe,www.chemistdirect.co.uk,26454188,1,payment successful
38,135,Molly Jenkins,61,Sunscreen Lotion,Sun Care,wallet,2,15.99,2024-07-03T04:27:41.000-07:00,United Kingdom,York,www.cvs.com,34995150,0,insufficient credit
39,204,Noah Williams,34,Foot Scrub,Foot Care,internet banking,3,6.99,2024-11-23T16:37:16.000-08:00,United States of America,Houston,www.cvs.com,96654250,1,payment successful
40,166,Grace Young,59,Hearing Aid Clips,Hearing Devices and Amplifiers,internet banking,3,590.0,2024-12-12T22:37:23.000-08:00,United States of America,San Francisco,www.safeway.com/pharmacy,73636598,1,payment successful
41,17,Lucas Silva,64,Sunscreen Spray,Sun Care,internet banking,4,14.99,2024-12-07T13:58:38.000-08:00,Brazil,São Paulo,www.walmart.com/pharmacy,57224354,0,insufficient credit
42,188,Camille Laurent,30,Leave-in Conditioner,Hair Care,wallet,3,7.49,2024-01-18T00:06:31.000-08:00,France,Lille,www.cvs.com,17481881,1,payment successful
43,154,Emily Davis,39,Foot Deodorant,Foot Care,wallet,3,6.49,2024-10-28T13:12:46.000-07:00,United States of America,Houston,www.walgreens.com,58881434,1,payment successful
44,140,Ellie Simpson,4,Allergy Relief Eye Drops,Eye Care,card,6,7.99,2024-03-27T09:58:51.000-07:00,United Kingdom,Plymouth,www.cvs.com,54986861,1,payment successful
45,162,Mia Clark,130,Knee Brace,Supports and Braces,upi,6,15.99,2024-09-24T22:21:38.000-07:00,United States of America,Jacksonville,www.expresspharmacy.co.uk,33848040,1,payment successful
46,54,Marie Curie,49,Pre-Shave Oil,Shaving and Grooming,wallet,3,8.99,2024-06-08T07:42:23.000-07:00,France,Lyon,www.chemistwarehouse.com.au,91959184,0,insufficient credit
47,34,Ali Hassan,79,Body Butter,Bath and Body,upi,2,8.99,2024-06-23T06:41:18.000-07:00,Saudi Arabia,Riyadh,www.expresspharmacy.co.uk,18998110,1,payment successful
48,192,Louis Martin,125,Acne Treatment Gel,Skin Ailments,wallet,7,8.99,2024-06-14T01:03:01.000-07:00,France,Strasbourg,www.cvs.com,24870271,1,payment successful
49,25,Mohammed Ali,45,Shaving Brush,Shaving and Grooming,card,2,7.99,2024-01-01T20:06:34.000-08:00,Egypt,Cairo,www.safeway.com/pharmacy,33703027,1,payment successful
50,91,Joseph Harris,22,Conditioner,Hair Care,card,1,6.99,2024-07-24T10:01:45.000-07:00,United States of America,Austin,www.safeway.com/pharmacy,32245549,1,payment successful
51,231,Charlie Davies,134,Back Support Belt,Supports and Braces,upi,4,19.99,2024-08-25T19:40:57.000-07:00,United Kingdom,Edinburgh,www.1mg.com,26388812,1,payment successful
52,83,Haruto Takahashi,120,Nicotine Patches,Stop Smoking,wallet,7,29.99,2024-11-28T10:40:08.000-08:00,Japan,Fukuoka,www.alldaychemist.com,49800625,1,payment successful
53,112,Madison Collins,88,Flu Relief Tablets,"Cough, Cold, and Flu",wallet,3,9.99,2024-01-30T15:43:23.000-08:00,Australia,Sunshine Coast,www.cvs.com,70986915,1,payment successful
54,73,Aiko Sato,40,Foot Massager,Foot Care,card,4,19.99,2024-11-13T13:56:51.000-08:00,Japan,Hiroshima,www.goodrx.com,98485482,1,payment successful
55,161,Lucas Harris,130,Knee Brace,Supports and Braces,card,3,15.99,2024-04-19T18:00:23.000-07:00,United States of America,Austin,www.iherb.com,67054037,1,payment successful
56,98,ROGUEROGUE,6,Eye Wash,"",wallet,5,5.49,2024-04-08T04:03:53.000-07:00,ROGUEROGUE,Saitama,www.mysmartpharmacy.com,67031897,1,XXXXXXXX
57,3,Carlos Garcia,11,Toothpaste,Oral Care,wallet,9,2.99,2024-04-08T11:32:06.000-07:00,Mexico,Mexico City,www.walgreens.com,11201538,1,payment successful
58,188,Camille Laurent,88,Flu Relief Tablets,"Cough, Cold, and Flu",wallet,9,9.99,2024-12-15T10:10:27.000-08:00,France,Lille,www.goodrx.com,92010764,1,payment successful
59,154,Emily Davis,64,Sunscreen Spray,Sun Care,wallet,2,14.99,2024-06-20T21:34:49.000-07:00,United States of America,Houston,www.pillpack.com,66846162,1,payment successful
60,234,Mia Robinson,126,Diabetes Test Strips,Diabetes Management,card,2,25.99,2024-10-26T07:42:38.000-07:00,United Kingdom,Cardiff,www.walgreens.com,21799921,1,payment successful
61,196,Henri Dubois,15,Denture Cleaner,Oral Care,wallet,4,4.99,2024-10-01T06:34:32.000-07:00,France,Dijon,www.amazon.com/pharmacy,45401701,1,payment successful
62,219,Chloe Martin,4,Allergy Relief Eye Drops,Eye Care,wallet,1,7.99,2024-03-04T19:31:39.000-08:00,Australia,Perth,www.healthmart.com,31060312,1,payment successful
63,95,Hannah Baker,34,Foot Scrub,Foot Care,card,2,6.99,2024-10-23T09:44:11.000-07:00,United Kingdom,Nottingham,www.1mg.com,76831087,1,payment successful
64,142,Zara Morgan,125,Acne Treatment Gel,Skin Ailments,upi,2,8.99,2024-08-24T15:45:13.000-07:00,Australia,Rockhampton,www.britishpharmacy.co.uk,69793128,1,payment successful
65,136,Dylan Bennett,67,Incontinence Pads,Incontinence,card,6,8.99,2024-12-23T01:42:37.000-08:00,United States of America,Washington,www.alldaychemist.com,22261754,0,payment method not accepted at merchant
66,37,Emma Wilson,33,Foot Spray,Foot Care,internet banking,3,7.49,2024-10-07T14:18:47.000-07:00,Canada,Vancouver,www.pharmacytimes.com,72139669,1,payment successful
67,108,Rina Watanabe,30,Leave-in Conditioner,Hair Care,card,9,7.49,2024-07-07T20:54:33.000-07:00,Japan,Okayama,www.cvs.com,52876144,1,payment successful
68,209,Mia Thomas,42,Razor,Shaving and Grooming,upi,3,5.99,2024-03-24T19:22:36.000-07:00,United States of America,San Jose,www.chemistdirect.co.uk,33250632,1,payment successful
